"","Korea","Saudi","Taiwan","Mexico","USA","China","Canada","Japan","HongKong","Date"
"2023-04-04",2480.51000976562,11211.7001953125,15374.6298828125,52344.01953125,3829.25,3228.98999023438,20360.099609375,28082.69921875,20309.130859375,2023-04-04
"2023-04-05",2495.2099609375,11246.9296875,15411.490234375,53209,3783.21997070312,3252.97998046875,20390.30078125,28156.970703125,20400.109375,2023-04-05
"2023-04-06",2459.22998046875,11197.4599609375,15579.1796875,53593.859375,3849.28002929688,3273.330078125,20457.5,28493.470703125,20409.1796875,2023-04-06
"2023-04-07",2490.40991210938,11096.580078125,15636.48046875,53576.71875,3839.5,3255.81005859375,20376.19921875,28514.779296875,20274.58984375,2023-04-07
"2023-04-10",2512.080078125,11151.240234375,15553.41015625,53631.890625,3824.13989257812,3240.36010742188,20341.400390625,28658.830078125,20331.19921875,2023-04-10
"2023-04-11",2547.86010742188,11142.01953125,15609.0302734375,53128.96875,3852.96997070312,3197.89990234375,20503.19921875,28606.759765625,20485.240234375,2023-04-11
"2023-04-12",2550.63989257812,NA,15626.0703125,53218.828125,3808.10009765625,3150.6201171875,20631.599609375,28657.5703125,20309.859375,2023-04-12
"2023-04-13",2561.65991210938,10930.509765625,15699.5703125,53382.6484375,3895.080078125,3189.43994140625,20629.599609375,28564.369140625,20344.48046875,2023-04-13
"2023-04-14",2571.48999023438,10965.41015625,15727.7001953125,53947.0390625,3892.09008789062,3189.3798828125,20599.599609375,28593.51953125,20438.810546875,2023-04-14
"2023-04-17",2575.90991210938,10938.75,15641.759765625,54341.25,3919.25,3182.3798828125,20700.5,28620.0703125,20782.44921875,2023-04-17
"2023-04-18",2571.09008789062,10796.4599609375,15514.6396484375,54870.5,3969.61010742188,3202.06005859375,20714.5,28416.470703125,20650.509765625,2023-04-18
"2023-04-19",2575.080078125,10746.6396484375,15502.3603515625,54871.359375,3983.169921875,3243.97998046875,20572.099609375,28457.6796875,20367.759765625,2023-04-19
"2023-04-20",2563.11010742188,10752.009765625,15475.0498046875,55164.01171875,3999.09008789062,3245.35009765625,20767.400390625,28856.439453125,20396.970703125,2023-04-20
"2023-04-21",2544.39990234375,10896.91015625,15673.900390625,54774.91015625,3990.96997070312,3222.94995117188,20751.099609375,29123.1796875,20075.73046875,2023-04-21
